Subno	BevAdGrp	GameGrp	Channel	P3ampl	TargType
31002	beer_ad	IG	P3	9.63296	beer_target
31002	beer_ad	IG	P1	13.02464	beer_target
31002	beer_ad	IG	Pz	15.07726	beer_target
31002	beer_ad	IG	P2	15.67153	beer_target
31002	beer_ad	IG	P4	15.34457	beer_target
31002	beer_ad	IG	PO5	13.35143	beer_target
31002	beer_ad	IG	PO3	15.30363	beer_target
31002	beer_ad	IG	POz	18.12633	beer_target
31002	beer_ad	IG	PO4	17.78511	beer_target
31002	beer_ad	IG	PO6	18.34180	beer_target
31002	beer_ad	IG	O1	14.78755	beer_target
31002	beer_ad	IG	Oz	16.48098	beer_target
31002	beer_ad	IG	O2	16.96081	beer_target
31007	beer_ad	IG	P3	17.56540	beer_target
31007	beer_ad	IG	P1	18.04649	beer_target
31007	beer_ad	IG	Pz	18.45332	beer_target
31007	beer_ad	IG	P2	17.89713	beer_target
31007	beer_ad	IG	P4	16.57356	beer_target
31007	beer_ad	IG	PO5	20.03756	beer_target
31007	beer_ad	IG	PO3	20.64872	beer_target
31007	beer_ad	IG	POz	19.44345	beer_target
31007	beer_ad	IG	PO4	19.05863	beer_target
31007	beer_ad	IG	PO6	18.58969	beer_target
31007	beer_ad	IG	O1	19.79549	beer_target
31007	beer_ad	IG	Oz	16.54385	beer_target
31007	beer_ad	IG	O2	16.89156	beer_target
31012	beer_ad	IG	P3	12.65755	beer_target
31012	beer_ad	IG	P1	14.29058	beer_target
31012	beer_ad	IG	Pz	16.11583	beer_target
31012	beer_ad	IG	P2	17.31535	beer_target
31012	beer_ad	IG	P4	18.05987	beer_target
31012	beer_ad	IG	PO5	14.61193	beer_target
31012	beer_ad	IG	PO3	16.43848	beer_target
31012	beer_ad	IG	POz	17.61554	beer_target
31012	beer_ad	IG	PO4	19.78401	beer_target
31012	beer_ad	IG	PO6	21.01036	beer_target
31012	beer_ad	IG	O1	13.01747	beer_target
31012	beer_ad	IG	Oz	11.53611	beer_target
31012	beer_ad	IG	O2	16.66223	beer_target
31013	beer_ad	IG	P3	7.11845	beer_target
31013	beer_ad	IG	P1	7.10868	beer_target
31013	beer_ad	IG	Pz	6.47818	beer_target
31013	beer_ad	IG	P2	5.40006	beer_target
31013	beer_ad	IG	P4	5.26451	beer_target
31013	beer_ad	IG	PO5	8.17491	beer_target
31013	beer_ad	IG	PO3	9.16606	beer_target
31013	beer_ad	IG	POz	7.15469	beer_target
31013	beer_ad	IG	PO4	8.51411	beer_target
31013	beer_ad	IG	PO6	7.74269	beer_target
31013	beer_ad	IG	O1	9.72514	beer_target
31013	beer_ad	IG	Oz	9.51427	beer_target
31013	beer_ad	IG	O2	9.66180	beer_target
31019	beer_ad	IG	P3	12.21831	beer_target
31019	beer_ad	IG	P1	11.48422	beer_target
31019	beer_ad	IG	Pz	12.48064	beer_target
31019	beer_ad	IG	P2	10.70868	beer_target
31019	beer_ad	IG	P4	9.29422	beer_target
31019	beer_ad	IG	PO5	16.79164	beer_target
31019	beer_ad	IG	PO3	17.57659	beer_target
31019	beer_ad	IG	POz	16.62697	beer_target
31019	beer_ad	IG	PO4	16.01403	beer_target
31019	beer_ad	IG	PO6	15.19336	beer_target
31019	beer_ad	IG	O1	16.18725	beer_target
31019	beer_ad	IG	Oz	14.44355	beer_target
31019	beer_ad	IG	O2	15.93602	beer_target
31021	beer_ad	IG	P3	15.86551	beer_target
31021	beer_ad	IG	P1	19.03212	beer_target
31021	beer_ad	IG	Pz	20.42394	beer_target
31021	beer_ad	IG	P2	20.09576	beer_target
31021	beer_ad	IG	P4	19.72114	beer_target
31021	beer_ad	IG	PO5	16.26501	beer_target
31021	beer_ad	IG	PO3	17.26863	beer_target
31021	beer_ad	IG	POz	16.15217	beer_target
31021	beer_ad	IG	PO4	15.22392	beer_target
31021	beer_ad	IG	PO6	15.31993	beer_target
31021	beer_ad	IG	O1	10.38577	beer_target
31021	beer_ad	IG	Oz	8.24303	beer_target
31021	beer_ad	IG	O2	8.89346	beer_target
31022	beer_ad	IG	P3	6.82293	beer_target
31022	beer_ad	IG	P1	8.53416	beer_target
31022	beer_ad	IG	Pz	7.36049	beer_target
31022	beer_ad	IG	P2	7.71091	beer_target
31022	beer_ad	IG	P4	7.34478	beer_target
31022	beer_ad	IG	PO5	8.62376	beer_target
31022	beer_ad	IG	PO3	8.53173	beer_target
31022	beer_ad	IG	POz	8.76488	beer_target
31022	beer_ad	IG	PO4	8.71269	beer_target
31022	beer_ad	IG	PO6	8.55878	beer_target
31022	beer_ad	IG	O1	6.48742	beer_target
31022	beer_ad	IG	Oz	5.51536	beer_target
31022	beer_ad	IG	O2	7.01292	beer_target
31027	beer_ad	IG	P3	8.98207	beer_target
31027	beer_ad	IG	P1	9.50902	beer_target
31027	beer_ad	IG	Pz	9.46651	beer_target
31027	beer_ad	IG	P2	10.59164	beer_target
31027	beer_ad	IG	P4	10.69089	beer_target
31027	beer_ad	IG	PO5	13.15780	beer_target
31027	beer_ad	IG	PO3	12.83919	beer_target
31027	beer_ad	IG	POz	12.88931	beer_target
31027	beer_ad	IG	PO4	13.00793	beer_target
31027	beer_ad	IG	PO6	13.13529	beer_target
31027	beer_ad	IG	O1	10.29154	beer_target
31027	beer_ad	IG	Oz	9.88202	beer_target
31027	beer_ad	IG	O2	13.00067	beer_target
31031	beer_ad	IG	P3	6.46180	beer_target
31031	beer_ad	IG	P1	6.65665	beer_target
31031	beer_ad	IG	Pz	6.73288	beer_target
31031	beer_ad	IG	P2	7.92695	beer_target
31031	beer_ad	IG	P4	8.11722	beer_target
31031	beer_ad	IG	PO5	9.88927	beer_target
31031	beer_ad	IG	PO3	9.98094	beer_target
31031	beer_ad	IG	POz	9.67940	beer_target
31031	beer_ad	IG	PO4	10.49053	beer_target
31031	beer_ad	IG	PO6	10.50262	beer_target
31031	beer_ad	IG	O1	9.78599	beer_target
31031	beer_ad	IG	Oz	9.05997	beer_target
31031	beer_ad	IG	O2	11.63609	beer_target
31035	beer_ad	IG	P3	9.19510	beer_target
31035	beer_ad	IG	P1	10.53170	beer_target
31035	beer_ad	IG	Pz	11.01544	beer_target
31035	beer_ad	IG	P2	10.41489	beer_target
31035	beer_ad	IG	P4	9.13586	beer_target
31035	beer_ad	IG	PO5	10.08658	beer_target
31035	beer_ad	IG	PO3	10.22562	beer_target
31035	beer_ad	IG	POz	11.34709	beer_target
31035	beer_ad	IG	PO4	11.56234	beer_target
31035	beer_ad	IG	PO6	11.89281	beer_target
31035	beer_ad	IG	O1	6.97324	beer_target
31035	beer_ad	IG	Oz	7.52739	beer_target
31035	beer_ad	IG	O2	11.08919	beer_target
31040	beer_ad	IG	P3	18.05554	beer_target
31040	beer_ad	IG	P1	18.58870	beer_target
31040	beer_ad	IG	Pz	17.83684	beer_target
31040	beer_ad	IG	P2	18.59187	beer_target
31040	beer_ad	IG	P4	18.31192	beer_target
31040	beer_ad	IG	PO5	18.54364	beer_target
31040	beer_ad	IG	PO3	19.33829	beer_target
31040	beer_ad	IG	POz	19.34358	beer_target
31040	beer_ad	IG	PO4	20.50097	beer_target
31040	beer_ad	IG	PO6	21.85888	beer_target
31040	beer_ad	IG	O1	16.99281	beer_target
31040	beer_ad	IG	Oz	16.51102	beer_target
31040	beer_ad	IG	O2	19.98157	beer_target
31043	beer_ad	IG	P3	10.01173	beer_target
31043	beer_ad	IG	P1	10.15794	beer_target
31043	beer_ad	IG	Pz	8.69834	beer_target
31043	beer_ad	IG	P2	7.79841	beer_target
31043	beer_ad	IG	P4	7.58849	beer_target
31043	beer_ad	IG	PO5	9.86097	beer_target
31043	beer_ad	IG	PO3	11.24875	beer_target
31043	beer_ad	IG	POz	10.93213	beer_target
31043	beer_ad	IG	PO4	9.08398	beer_target
31043	beer_ad	IG	PO6	8.22557	beer_target
31043	beer_ad	IG	O1	7.39956	beer_target
31043	beer_ad	IG	Oz	7.50825	beer_target
31043	beer_ad	IG	O2	6.49729	beer_target
31048	beer_ad	IG	P3	14.75053	beer_target
31048	beer_ad	IG	P1	17.45993	beer_target
31048	beer_ad	IG	Pz	18.77818	beer_target
31048	beer_ad	IG	P2	19.85731	beer_target
31048	beer_ad	IG	P4	20.66768	beer_target
31048	beer_ad	IG	PO5	18.39338	beer_target
31048	beer_ad	IG	PO3	19.98621	beer_target
31048	beer_ad	IG	POz	21.83745	beer_target
31048	beer_ad	IG	PO4	25.19407	beer_target
31048	beer_ad	IG	PO6	27.12927	beer_target
