Subno	BevAdGrp	GameGrp	Channel	P3ampl	TargType
31003	beer_ad	OG	P3	8.18076	beer_target
31003	beer_ad	OG	P1	9.74671	beer_target
31003	beer_ad	OG	Pz	11.71892	beer_target
31003	beer_ad	OG	P2	11.95409	beer_target
31003	beer_ad	OG	P4	11.00109	beer_target
31003	beer_ad	OG	PO5	7.69273	beer_target
31003	beer_ad	OG	PO3	8.50507	beer_target
31003	beer_ad	OG	POz	10.28641	beer_target
31003	beer_ad	OG	PO4	9.31684	beer_target
31003	beer_ad	OG	PO6	9.08210	beer_target
31003	beer_ad	OG	O1	3.66516	beer_target
31003	beer_ad	OG	Oz	3.25055	beer_target
31003	beer_ad	OG	O2	5.69958	beer_target
31006	beer_ad	OG	P3	16.81161	beer_target
31006	beer_ad	OG	P1	17.78339	beer_target
31006	beer_ad	OG	Pz	18.50518	beer_target
31006	beer_ad	OG	P2	18.81374	beer_target
31006	beer_ad	OG	P4	17.98023	beer_target
31006	beer_ad	OG	PO5	17.02151	beer_target
31006	beer_ad	OG	PO3	18.95626	beer_target
31006	beer_ad	OG	POz	21.85892	beer_target
31006	beer_ad	OG	PO4	16.56860	beer_target
31006	beer_ad	OG	PO6	20.01407	beer_target
31006	beer_ad	OG	O1	17.14880	beer_target
31006	beer_ad	OG	Oz	18.79687	beer_target
31006	beer_ad	OG	O2	20.86865	beer_target
31009	beer_ad	OG	P3	22.32271	beer_target
31009	beer_ad	OG	P1	25.18818	beer_target
31009	beer_ad	OG	Pz	26.98939	beer_target
31009	beer_ad	OG	P2	25.96084	beer_target
31009	beer_ad	OG	P4	24.24500	beer_target
31009	beer_ad	OG	PO5	19.99989	beer_target
31009	beer_ad	OG	PO3	22.67316	beer_target
31009	beer_ad	OG	POz	24.54256	beer_target
31009	beer_ad	OG	PO4	22.54450	beer_target
31009	beer_ad	OG	PO6	23.43936	beer_target
31009	beer_ad	OG	O1	13.58228	beer_target
31009	beer_ad	OG	Oz	11.82897	beer_target
31009	beer_ad	OG	O2	14.46570	beer_target
31016	beer_ad	OG	P3	14.47396	beer_target
31016	beer_ad	OG	P1	17.87915	beer_target
31016	beer_ad	OG	Pz	18.80691	beer_target
31016	beer_ad	OG	P2	17.35909	beer_target
31016	beer_ad	OG	P4	15.38921	beer_target
31016	beer_ad	OG	PO5	12.36485	beer_target
31016	beer_ad	OG	PO3	16.38866	beer_target
31016	beer_ad	OG	POz	17.05998	beer_target
31016	beer_ad	OG	PO4	16.64721	beer_target
31016	beer_ad	OG	PO6	14.75173	beer_target
31016	beer_ad	OG	O1	7.47936	beer_target
31016	beer_ad	OG	Oz	8.99078	beer_target
31016	beer_ad	OG	O2	9.43499	beer_target
31017	beer_ad	OG	P3	6.88135	beer_target
31017	beer_ad	OG	P1	8.23272	beer_target
31017	beer_ad	OG	Pz	8.66367	beer_target
31017	beer_ad	OG	P2	9.65539	beer_target
31017	beer_ad	OG	P4	9.64176	beer_target
31017	beer_ad	OG	PO5	10.09311	beer_target
31017	beer_ad	OG	PO3	10.10773	beer_target
31017	beer_ad	OG	POz	11.15027	beer_target
31017	beer_ad	OG	PO4	12.32730	beer_target
31017	beer_ad	OG	PO6	13.36307	beer_target
31017	beer_ad	OG	O1	11.15591	beer_target
31017	beer_ad	OG	Oz	9.15686	beer_target
31017	beer_ad	OG	O2	13.32804	beer_target
31025	beer_ad	OG	P3	9.33981	beer_target
31025	beer_ad	OG	P1	9.07405	beer_target
31025	beer_ad	OG	Pz	8.87888	beer_target
31025	beer_ad	OG	P2	8.27202	beer_target
31025	beer_ad	OG	P4	7.50648	beer_target
31025	beer_ad	OG	PO5	10.83572	beer_target
31025	beer_ad	OG	PO3	8.72923	beer_target
31025	beer_ad	OG	POz	8.03320	beer_target
31025	beer_ad	OG	PO4	7.60725	beer_target
31025	beer_ad	OG	PO6	7.76647	beer_target
31025	beer_ad	OG	O1	5.82915	beer_target
31025	beer_ad	OG	Oz	4.27798	beer_target
31025	beer_ad	OG	O2	3.95014	beer_target
31034	beer_ad	OG	P3	15.83656	beer_target
31034	beer_ad	OG	P1	17.59309	beer_target
31034	beer_ad	OG	Pz	17.44349	beer_target
31034	beer_ad	OG	P2	16.52187	beer_target
31034	beer_ad	OG	P4	14.45007	beer_target
31034	beer_ad	OG	PO5	17.67736	beer_target
31034	beer_ad	OG	PO3	18.68087	beer_target
31034	beer_ad	OG	POz	18.65113	beer_target
31034	beer_ad	OG	PO4	17.39599	beer_target
31034	beer_ad	OG	PO6	15.92232	beer_target
31034	beer_ad	OG	O1	15.63320	beer_target
31034	beer_ad	OG	Oz	12.24803	beer_target
31034	beer_ad	OG	O2	13.59488	beer_target
31037	beer_ad	OG	P3	10.88832	beer_target
31037	beer_ad	OG	P1	10.86849	beer_target
31037	beer_ad	OG	Pz	11.75382	beer_target
31037	beer_ad	OG	P2	11.20354	beer_target
31037	beer_ad	OG	P4	10.49759	beer_target
31037	beer_ad	OG	PO5	13.68862	beer_target
31037	beer_ad	OG	PO3	12.76912	beer_target
31037	beer_ad	OG	POz	12.40217	beer_target
31037	beer_ad	OG	PO4	12.85511	beer_target
31037	beer_ad	OG	PO6	12.77799	beer_target
31037	beer_ad	OG	O1	8.66305	beer_target
31037	beer_ad	OG	Oz	8.56133	beer_target
31037	beer_ad	OG	O2	8.76109	beer_target
31042	beer_ad	OG	P3	9.24153	beer_target
31042	beer_ad	OG	P1	8.39916	beer_target
31042	beer_ad	OG	Pz	8.02042	beer_target
31042	beer_ad	OG	P2	9.69610	beer_target
31042	beer_ad	OG	P4	11.39904	beer_target
31042	beer_ad	OG	PO5	9.95587	beer_target
31042	beer_ad	OG	PO3	10.07764	beer_target
31042	beer_ad	OG	POz	10.90720	beer_target
31042	beer_ad	OG	PO4	11.83312	beer_target
31042	beer_ad	OG	PO6	13.45479	beer_target
31042	beer_ad	OG	O1	8.01618	beer_target
31042	beer_ad	OG	Oz	8.56351	beer_target
31042	beer_ad	OG	O2	12.39643	beer_target
31046	beer_ad	OG	P3	15.71284	beer_target
31046	beer_ad	OG	P1	17.45128	beer_target
31046	beer_ad	OG	Pz	18.10998	beer_target
31046	beer_ad	OG	P2	17.47481	beer_target
31046	beer_ad	OG	P4	17.53881	beer_target
31046	beer_ad	OG	PO5	20.50223	beer_target
31046	beer_ad	OG	PO3	18.62611	beer_target
31046	beer_ad	OG	POz	18.31750	beer_target
31046	beer_ad	OG	PO4	19.10028	beer_target
31046	beer_ad	OG	PO6	20.66490	beer_target
31046	beer_ad	OG	O1	16.38730	beer_target
31046	beer_ad	OG	Oz	11.38048	beer_target
31046	beer_ad	OG	O2	15.65049	beer_target
31049	beer_ad	OG	P3	6.19617	beer_target
31049	beer_ad	OG	P1	7.01190	beer_target
31049	beer_ad	OG	Pz	7.84556	beer_target
31049	beer_ad	OG	P2	6.12566	beer_target
31049	beer_ad	OG	P4	3.75492	beer_target
31049	beer_ad	OG	PO5	7.05920	beer_target
31049	beer_ad	OG	PO3	6.79265	beer_target
31049	beer_ad	OG	POz	6.27003	beer_target
31049	beer_ad	OG	PO4	4.32498	beer_target
31049	beer_ad	OG	PO6	4.50002	beer_target
31049	beer_ad	OG	O1	3.16881	beer_target
31049	beer_ad	OG	Oz	-1.48757	beer_target
31049	beer_ad	OG	O2	0.79467	beer_target
31054	beer_ad	OG	P3	2.43493	beer_target
31054	beer_ad	OG	P1	2.54272	beer_target
31054	beer_ad	OG	Pz	1.59062	beer_target
31054	beer_ad	OG	P2	4.35636	beer_target
31054	beer_ad	OG	P4	7.11667	beer_target
31054	beer_ad	OG	PO5	7.55530	beer_target
31054	beer_ad	OG	PO3	5.90150	beer_target
31054	beer_ad	OG	POz	5.60709	beer_target
31054	beer_ad	OG	PO4	7.73613	beer_target
31054	beer_ad	OG	PO6	12.59056	beer_target
31054	beer_ad	OG	O1	9.01466	beer_target
31054	beer_ad	OG	Oz	5.75268	beer_target
31054	beer_ad	OG	O2	11.35292	beer_target
31060	beer_ad	OG	P3	9.45297	beer_target
31060	beer_ad	OG	P1	8.46174	beer_target
31060	beer_ad	OG	Pz	6.64839	beer_target
31060	beer_ad	OG	P2	6.30047	beer_target
31060	beer_ad	OG	P4	5.24185	beer_target
31060	beer_ad	OG	PO5	14.07405	beer_target
31060	beer_ad	OG	PO3	13.93868	beer_target
31060	beer_ad	OG	POz	12.16773	beer_target
31060	beer_ad	OG	PO4	11.62585	beer_target
31060	beer_ad	OG	PO6	12.14170	beer_target
31060	beer_ad	OG	O1	16.83425	beer_target
31060	beer_ad	OG	Oz	14.08116	beer_target
31060	beer_ad	OG	O2	16.32245	beer_target
31063	beer_ad	OG	P3	7.06629	beer_target
31063	beer_ad	OG	P1	7.76732	beer_target
31063	beer_ad	OG	Pz	8.30239	beer_target
31063	beer_ad	OG	P2	9.71587	beer_target
31063	beer_ad	OG	P4	10.28429	beer_target
31063	beer_ad	OG	PO5	9.13995	beer_target
31063	beer_ad	OG	PO3	8.67894	beer_target
31063	beer_ad	OG	POz	9.30797	beer_target
31063	beer_ad	OG	PO4	10.09316	beer_target
31063	beer_ad	OG	PO6	11.43126	beer_target
31063	beer_ad	OG	O1	9.13675	beer_target
31063	beer_ad	OG	Oz	7.34062	beer_target
31063	beer_ad	OG	O2	10.04357	beer_target
31066	beer_ad	OG	P3	3.86475	beer_target
31066	beer_ad	OG	P1	1.21754	beer_target
31066	beer_ad	OG	Pz	-2.51002	beer_target
31066	beer_ad	OG	P2	-2.12144	beer_target
31066	beer_ad	OG	P4	-0.40505	beer_target
31066	beer_ad	OG	PO5	9.29640	beer_target
31066	beer_ad	OG	PO3	7.68858	beer_target
31066	beer_ad	OG	POz	4.22621	beer_target
31066	beer_ad	OG	PO4	3.26371	beer_target
31066	beer_ad	OG	PO6	4.18832	beer_target
31066	beer_ad	OG	O1	15.68251	beer_target
31066	beer_ad	OG	Oz	10.18485	beer_target
31066	beer_ad	OG	O2	8.08985	beer_target
31069	beer_ad	OG	P3	4.31191	beer_target
31069	beer_ad	OG	P1	7.09703	beer_target
31069	beer_ad	OG	Pz	8.42724	beer_target
31069	beer_ad	OG	P2	8.27356	beer_target
31069	beer_ad	OG	P4	7.57771	beer_target
31069	beer_ad	OG	PO5	9.94328	beer_target
31069	beer_ad	OG	PO3	13.04340	beer_target
31069	beer_ad	OG	POz	13.37499	beer_target
31069	beer_ad	OG	PO4	15.07900	beer_target
31069	beer_ad	OG	PO6	14.33693	beer_target
31069	beer_ad	OG	O1	12.97874	beer_target
31069	beer_ad	OG	Oz	12.98742	beer_target
31069	beer_ad	OG	O2	15.52755	beer_target
31076	beer_ad	OG	P3	8.80866	beer_target
31076	beer_ad	OG	P1	9.33195	beer_target
31076	beer_ad	OG	Pz	9.78137	beer_target
31076	beer_ad	OG	P2	10.57850	beer_target
31076	beer_ad	OG	P4	11.03914	beer_target
31076	beer_ad	OG	PO5	7.56973	beer_target
31076	beer_ad	OG	PO3	7.76724	beer_target
